Cust ID,State,VMail Plan,International Plan,Day_Minutes,Day_Calls,Day_Charge,Evening_Minutes,Evening_Calls,Evening_Charge,Night_Minutes,Night_Calls,Night_Charge,International_Minutes,International_Calls,International_Charge,Customer_Service_Calls,VMail_Messages,Churn
25,ID,1,1,57.89,6,3.4734,104.28,11,3.1284,45.66,5,0.9132,62.46,11,18.738,7,15,0
26,SD,1,1,193.1,20,11.586,131.92,13,3.9576,266.92,25,5.3384,211.24,22,63.372,14,27,0
27,MN,1,1,420.74,40,25.2444,391.41,44,11.7423,504.5,56,10.09,257.74,36,77.322,24,58,0
28,CA,1,1,184.67,23,11.0802,167.17,17,5.0151,238.84,24,4.7768,198.66,21,59.598,11,37,0
29,IA,1,1,140.88,15,8.4528,49.96,6,1.4988,50.46,6,1.0092,146.02,14,43.806,4,6,0
30,AR,1,1,,,,,,,,,,,,,,,0
31,NV,1,1,319.27,33,19.1562,367.18,38,11.0154,272.02,29,5.4404,250.64,27,75.192,16,31,0
32,ID,1,1,249.64,25,14.9784,372.37,35,11.1711,169.73,19,3.3946,148.55,15,44.565,5,24,1
33,WY,1,1,53.74,6,3.2244,34.68,4,1.0404,73.5,9,1.47,12.63,1,3.789,,6,0
34,ID,1,1,273.7,32,16.422,301.75,31,9.0525,210.16,22,4.2032,288.89,32,86.667,17,27,0
35,MT,0,0,,,,,,,,,,,,,,,0
36,AR,0,1,137.73,18,8.2638,194.28,21,5.8284,143.76,15,2.8752,136.77,18,41.031,13,23,0
37,TN,1,1,191.44,16,11.4864,57.5,8,1.725,139.47,16,2.7894,106.1,12,31.83,4,17,0
38,NV,1,1,288.88,26,17.3328,274.22,28,8.2266,149.13,16,2.9826,223.72,20,67.116,14,28,0
39,FL,1,0,384.08,37,23.0448,192.86,26,5.7858,240.28,25,4.8056,204.57,31,61.371,25,54,0
40,ID,1,1,,,,,,,,,,,,,,,0
41,RI,1,1,121.65,12,7.299,117.68,13,3.5304,126.2,14,2.524,141.69,14,42.507,10,9,0
42,CA,1,1,101.76,13,6.1056,175.94,20,5.2782,157.31,19,3.1462,79.77,12,23.931,12,15,0
43,UT,1,1,80.1,9,4.806,102.97,11,3.0891,80.83,13,1.6166,155.87,17,46.761,6,10,0
44,AR,1,1,204.96,19,12.2976,114.7,15,3.441,107.56,11,2.1512,146.63,15,43.989,11,23,0
45,NH,1,1,181.34,20,10.8804,130.85,14,3.9255,281.57,26,5.6314,192.38,16,57.714,9,29,0
46,MT,1,1,200.83,16,12.0498,127.37,16,3.8211,117.29,11,2.3458,89.35,12,26.805,13,13,0
47,PA,1,1,,,,10.47,1,0.3141,25.57,3,0.5114,67.12,6,20.136,1,5,0
48,VA,1,1,95.39,13,5.7234,102.82,12,3.0846,157.82,20,3.1564,172.31,18,51.693,8,24,0
49,MD,1,1,44.73,6,2.6838,62.72,6,1.8816,123.11,13,2.4622,115.6,12,34.68,8,11,0
50,WA,1,1,292.88,31,17.5728,230.76,25,6.9228,241.16,29,4.8232,204.51,19,61.353,13,35,0
51,DE,1,1,174.43,16,10.4658,166.86,18,5.0058,137.09,14,2.7418,154.23,16,46.269,12,29,0
52,MO,1,0,333.45,29,20.007,439.42,42,13.1826,366.06,35,7.3212,367.3,34,110.19,22,34,0
53,UT,0,1,98.68,9,5.9208,48,5,1.44,139.4,18,2.788,94.49,10,28.347,7,12,0
54,AR,1,1,335.29,33,20.1174,344.51,34,10.3353,265.22,27,5.3044,235.4,24,70.62,17,34,0
55,RI,1,1,311.19,30,18.6714,273.77,22,8.2131,359.37,38,7.1874,296.59,30,88.977,26,44,0
56,SD,1,1,,,,,,,,,,,,,,,0
57,NY,0,1,197.93,29,11.8758,171.6,16,5.148,197.48,21,3.9496,242.85,24,72.855,16,26,0
58,GA,0,1,93.3,9,5.598,227.48,22,6.8244,135.07,13,2.7014,114.64,11,34.392,8,19,0
59,MN,0,1,46.26,4,2.7756,18.18,2,0.5454,84.97,8,1.6994,80.1,8,24.03,4,10,0
60,AL,1,1,35.68,5,2.1408,61.21,5,1.8363,68.41,8,1.3682,45.48,4,13.644,5,4,0
61,OH,1,0,244.75,30,14.685,311.96,31,9.3588,275.97,28,5.5194,307.57,33,92.271,19,33,0
62,OH,1,0,73.05,11,4.383,52.58,7,1.5774,87.1,8,1.742,78.03,11,23.409,4,13,0
63,AK,1,0,240.97,24,14.4582,204.33,20,6.1299,167.47,16,3.3494,142.16,15,42.648,14,18,0
64,PA,0,1,103.21,10,6.1926,75.21,7,2.2563,74.26,10,1.4852,131.29,14,39.387,4,11,0
65,DE,1,0,317.13,27,19.0278,427.01,41,12.8103,200.74,25,4.0148,260.94,34,78.282,22,33,0
66,ND,1,1,36.53,6,2.1918,81.09,7,2.4327,94.16,8,1.8832,97.65,8,29.295,4,3,0
67,WY,1,1,53.05,6,3.183,76,6,2.28,62.12,6,1.2424,43.62,5,13.086,3,8,0
68,HI,1,1,401.17,43,24.0702,395.05,43,11.8515,407.16,46,8.1432,440.53,44,132.159,16,55,0
69,PA,1,0,77.07,11,4.6242,89.61,9,2.6883,65.17,8,1.3034,140.4,12,42.12,2,9,0
70,MN,0,1,108.59,11,6.5154,79.23,9,2.3769,48.55,3,0.971,154.76,14,46.428,8,18,0
71,MA,1,0,259.34,31,15.5604,285.87,25,8.5761,234.43,21,4.6886,328.93,30,98.679,14,39,0
72,WA,1,1,84.37,8,5.0622,121.17,12,3.6351,69.05,11,1.381,77.13,9,23.139,6,10,0
73,NV,1,1,180.24,16,10.8144,176.67,15,5.3001,87.14,10,1.7428,54.26,9,16.278,14,12,0
74,MA,1,0,244.6,22,14.676,297.64,32,8.9292,341.34,37,6.8268,245.61,25,73.683,21,38,0
75,NV,1,1,81.4,6,4.884,89.22,10,2.6766,64.87,6,1.2974,37.33,5,11.199,3,8,0
76,RI,1,0,307.75,32,18.465,340.26,32,10.2078,344.79,34,6.8958,310.39,34,93.117,10,42,1
77,MT,1,1,44.69,4,2.6814,53.33,5,1.5999,8.6,2,0.172,16.33,1,4.899,3,3,0
78,DC,1,1,23.67,3,1.4202,89.01,10,2.6703,41.76,3,0.8352,22.83,2,6.849,3,4,0
79,UT,1,1,396.5,38,23.79,249.56,29,7.4868,453.94,48,9.0788,398.63,37,119.589,24,37,1
80,VT,1,1,,,,,,,,,,,,,,,0
81,KS,0,1,96.11,8,5.7666,114.38,11,3.4314,111,9,2.22,70.89,8,21.267,6,13,0
82,CT,1,1,226.14,23,13.5684,272.84,24,8.1852,253.45,23,5.069,215.67,21,64.701,16,37,0
83,UT,0,0,214.56,25,12.8736,175.06,18,5.2518,173.73,16,3.4746,138.68,15,41.604,7,19,1
84,MS,1,1,,,,,,,,,,,,,,,0
85,NV,1,1,131.32,13,7.8792,126.59,12,3.7977,197.71,18,3.9542,107.75,11,32.325,7,17,0
86,WV,1,1,142.02,13,8.5212,52.26,8,1.5678,71.01,7,1.4202,72.56,7,21.768,6,14,0
87,VA,1,1,134.72,13,8.0832,146.97,15,4.4091,98.92,11,1.9784,65.28,10,19.584,6,23,0
88,NY,1,1,208.86,22,12.5316,143.29,18,4.2987,118.89,13,2.3778,175.79,19,52.737,11,19,0
89,HI,1,1,129.33,10,7.7598,110.2,10,3.306,145.48,13,2.9096,63.1,12,18.93,7,11,0
90,MN,1,1,114.94,13,6.8964,90.42,9,2.7126,130.22,15,2.6044,101.56,11,30.468,8,16,1
91,VT,0,1,94.96,12,5.6976,328.15,40,9.8445,141.18,17,2.8236,206.47,22,61.941,10,27,0
92,TX,1,1,429.16,39,25.7496,254.71,31,7.6413,308.22,34,6.1644,338.53,37,101.559,19,53,0
93,MD,1,1,18.49,3,1.1094,46.76,4,1.4028,44.18,5,0.8836,,,,2,4,0
94,AL,0,1,241.95,23,14.517,256.36,24,7.6908,232.74,31,4.6548,142,14,42.6,4,26,0
95,WA,1,0,,,,,,,,,,,,,,,0
96,MT,1,1,403.39,35,24.2034,229.01,28,6.8703,286.27,30,5.7254,350.66,40,105.198,16,41,0
97,UT,1,1,183.51,20,11.0106,152.34,14,4.5702,127.63,13,2.5526,128.06,14,38.418,11,23,0
98,NM,1,1,281.61,27,16.8966,324.05,33,9.7215,259.6,25,5.192,409.87,42,122.961,13,30,0
99,OK,1,1,,,,,,,,,,,,,,,0
100,KY,1,1,,,,,,,,,,,,,,,0
101,ID,1,1,333.65,32,20.019,362.6,34,10.878,332.98,34,6.6596,355.91,37,106.773,22,38,0
102,IN,1,0,251.63,24,15.0978,251.11,27,7.5333,165.46,18,3.3092,175.52,21,52.656,14,39,0
103,NV,1,1,191.63,21,11.4978,272.71,24,8.1813,195.57,21,3.9114,266.96,27,80.088,14,24,0
104,NY,0,1,,,,,,,,,,,,,,,0
105,MS,1,1,77.45,8,4.647,102.96,10,3.0888,54.46,6,1.0892,40.95,5,12.285,4,8,0
106,MI,1,1,,,,,,,,,,,,,,,0
107,ND,1,1,91.57,11,5.4942,76.76,8,2.3028,62.61,5,1.2522,27.72,4,8.316,9,12,0
108,MD,1,1,239.55,23,14.373,200.02,18,6.0006,134.76,16,2.6952,231.02,18,69.306,13,20,0
109,RI,1,0,118.98,16,7.1388,138.28,13,4.1484,168.29,17,3.3658,163.78,16,49.134,12,19,0
110,ND,0,1,227.25,22,13.635,145.42,18,4.3626,280.03,32,5.6006,225.11,20,67.533,15,29,0
111,CA,1,1,368.58,37,22.1148,583.44,55,17.5032,429,44,8.58,479.93,56,143.979,29,58,0
112,ID,1,1,111.57,12,6.6942,46.18,7,1.3854,99.67,9,1.9934,53.53,6,16.059,1,9,0
113,ME,1,1,255.31,35,15.3186,382.11,35,11.4633,380.74,42,7.6148,275.96,34,82.788,27,32,0
114,SC,1,1,63.1,8,3.786,102.07,10,3.0621,55.63,7,1.1126,145.47,15,43.641,5,15,0
115,SC,1,1,157.35,14,9.441,88.68,10,2.6604,115.14,12,2.3028,164.73,19,49.419,6,11,0
116,MS,1,0,286.51,40,17.1906,295.8,30,8.874,407.17,36,8.1434,365.33,31,109.599,12,38,0
117,MA,1,1,249.32,25,14.9592,224.6,24,6.738,284.84,26,5.6968,239.41,27,71.823,20,34,0
118,RI,1,1,356.31,38,21.3786,235.59,25,7.0677,299.58,31,5.9916,284.71,31,85.413,17,23,0
119,NC,1,1,217.18,24,13.0308,182.29,21,5.4687,256.14,26,5.1228,219.87,23,65.961,15,20,0
120,NV,1,1,162.53,19,9.7518,176.04,21,5.2812,166.6,16,3.332,155.51,14,46.653,6,14,1
121,MN,1,0,,,,,,,,,,,,,,,0
122,NE,1,1,117.47,12,7.0482,59.5,8,1.785,76.68,7,1.5336,116.3,11,34.89,7,15,0
123,TX,1,1,400.45,41,24.027,337.73,34,10.1319,439.16,43,8.7832,310.69,31,93.207,24,49,0
124,OR,1,1,99.73,12,5.9838,61.2,7,1.836,160.39,17,3.2078,73.49,9,22.047,6,18,0
125,MI,1,0,84.17,13,5.0502,168.31,16,5.0493,97.54,8,1.9508,90.16,9,27.048,13,24,0
126,MD,1,1,175.26,14,10.5156,139.83,13,4.1949,158.07,17,3.1614,165.75,20,49.725,9,14,0
127,UT,1,1,,,,,,,,,,,,,,,0
128,CT,1,0,102.57,11,6.1542,81.95,7,2.4585,51.55,6,1.031,73.45,7,22.035,4,10,0
129,MI,1,1,149.53,20,8.9718,174.85,16,5.2455,152.53,14,3.0506,128.18,13,38.454,14,23,0
130,WA,1,0,197.29,21,11.8374,261.41,29,7.8423,355.87,37,7.1174,230.18,24,69.054,17,40,0
131,WV,1,1,65.2,9,3.912,225.76,23,6.7728,146.13,16,2.9226,119.93,15,35.979,11,14,0
132,NM,1,1,86.43,9,5.1858,93.34,8,2.8002,30.02,5,0.6004,25.8,3,7.74,1,4,0
133,MA,1,1,196.34,18,11.7804,215.06,20,6.4518,200.93,19,4.0186,272.89,31,81.867,12,16,0
134,TN,1,1,174.45,16,10.467,38.47,5,1.1541,48.8,4,0.976,62.02,6,18.606,3,16,0
135,ID,1,1,13.82,4,0.8292,15.44,4,0.4632,27.78,2,0.5556,14.2,1,4.26,,2,0
136,VA,1,0,233.4,23,14.004,335.65,36,10.0695,322.43,34,6.4486,162.1,14,48.63,15,34,0
137,AK,1,1,148.63,21,8.9178,259.02,24,7.7706,204.25,20,4.085,155.4,17,46.62,12,38,0
138,ME,1,1,50.48,7,3.0288,88.07,10,2.6421,138.68,14,2.7736,135.9,12,40.77,6,6,0
139,MS,1,1,402.33,45,24.1398,394.56,35,11.8368,416.56,47,8.3312,246.03,24,73.809,25,41,1
140,WV,1,1,233.62,28,14.0172,259.64,31,7.7892,332.18,32,6.6436,278.13,29,83.439,24,44,0
141,NC,1,1,299.77,29,17.9862,364.96,32,10.9488,201.17,21,4.0234,220.19,22,66.057,16,29,0
142,NJ,1,1,119.72,12,7.1832,109.83,10,3.2949,124.74,13,2.4948,105.02,12,31.506,8,13,0
143,UT,1,1,83.94,8,5.0364,126.58,17,3.7974,81.24,10,1.6248,93.16,10,27.948,12,18,1
144,IN,0,1,85.2,13,5.112,76.74,11,2.3022,112.12,12,2.2424,136.94,15,41.082,7,12,0
145,CA,1,1,169.73,15,10.1838,172.7,14,5.181,217.99,18,4.3598,128.22,14,38.466,5,15,0
146,WI,1,1,346.7,39,20.802,477.16,45,14.3148,299.13,34,5.9826,372.46,40,111.738,40,51,0
147,IL,1,1,187.9,17,11.274,175.7,23,5.271,233.03,24,4.6606,256.3,27,76.89,12,34,0
148,NM,1,1,106.05,11,6.363,95.67,13,2.8701,55.35,7,1.107,64.71,6,19.413,7,17,0
149,WV,1,1,,,,,,,,,,,,,,,0
150,GA,1,1,46.07,4,2.7642,81.38,7,2.4414,32.75,4,0.655,42.09,4,12.627,4,8,0
151,WY,1,1,193.35,22,11.601,151.87,16,4.5561,154.22,15,3.0844,210.31,25,63.093,11,24,0
152,AR,1,1,7,1,0.42,14.42,2,0.4326,44.81,5,0.8962,0.65,1,0.195,4,1,0
153,NJ,1,1,247.5,26,14.85,159.91,18,4.7973,226.49,27,4.5298,175.98,21,52.794,12,31,0
154,AR,1,1,94.21,7,5.6526,60.88,9,1.8264,61.62,8,1.2324,69.89,8,20.967,5,8,0
155,MI,1,1,492.13,50,29.5278,367.49,36,11.0247,415.44,43,8.3088,491.43,52,147.429,20,53,0
156,HI,1,1,210.8,17,12.648,224.4,24,6.732,287.97,31,5.7594,226.21,22,67.863,10,30,0
157,MT,0,1,257.6,30,15.456,353.9,37,10.617,412.83,45,8.2566,389.91,40,116.973,30,45,0
158,ME,1,1,222.52,26,13.3512,205.57,19,6.1671,202.58,29,4.0516,237.28,26,71.184,9,32,0
159,LA,1,1,244.16,32,14.6496,315.26,29,9.4578,310.12,35,6.2024,250.29,30,75.087,25,33,0
160,FL,1,1,235.4,26,14.124,237.94,29,7.1382,170.19,20,3.4038,257.95,26,77.385,15,19,0
161,WY,0,1,,,,,,,,,,,,,,,0
162,CT,1,1,178.8,21,10.728,262.4,25,7.872,201.15,21,4.023,312.76,30,93.828,20,31,0
163,MO,1,1,227.94,23,13.6764,246.2,23,7.386,151.83,17,3.0366,173.85,17,52.155,6,21,0
164,ME,0,1,,,,,,,,,,,,,,,0
165,WV,1,0,32.75,4,1.965,17.14,2,0.5142,75.53,6,1.5106,18.25,2,5.475,2,5,0
166,UT,1,1,275.2,28,16.512,283.55,33,8.5065,301.47,31,6.0294,194.76,18,58.428,18,43,0
167,IA,1,1,183.11,23,10.9866,198.25,21,5.9475,209.6,23,4.192,315.21,29,94.563,14,35,0
168,VT,1,1,205.34,18,12.3204,189.44,18,5.6832,143.29,19,2.8658,92.18,10,27.654,5,14,0
169,AL,1,1,106.73,13,6.4038,161.85,21,4.8555,191.82,17,3.8364,101.18,13,30.354,10,20,0
170,VA,1,1,409.44,44,24.5664,408.14,41,12.2442,380.22,46,7.6044,337.15,29,101.145,20,49,0
171,TN,1,1,137.74,12,8.2644,105.79,12,3.1737,101.37,12,2.0274,50.42,7,15.126,7,10,0
172,IN,1,1,373.53,37,22.4118,356.26,37,10.6878,466.02,49,9.3204,349.72,38,104.916,27,46,0
173,NC,1,1,83.41,8,5.0046,33.6,8,1.008,33.94,3,0.6788,20.25,2,6.075,,6,0
174,MT,1,1,32.52,2,1.9512,45.93,4,1.3779,37.97,3,0.7594,46.66,3,13.998,4,5,0
175,WV,1,1,89.87,13,5.3922,52.91,8,1.5873,21.42,2,0.4284,33.97,3,10.191,8,9,1
176,VA,0,1,,,,,,,,,,,,,,,0
177,DC,1,1,319.64,35,19.1784,297.69,35,8.9307,241.54,24,4.8308,403.86,39,121.158,22,40,0
178,NC,1,1,,,,,,,,,,,,,,,0
179,CO,0,1,50.49,5,3.0294,21.5,2,0.645,80.68,8,1.6136,120.09,12,36.027,5,9,0
180,KS,1,1,279.63,28,16.7778,224.68,22,6.7404,224.34,24,4.4868,207.82,20,62.346,18,28,0
181,CT,1,1,160.99,19,9.6594,199.57,18,5.9871,158.95,14,3.179,204.35,17,61.305,11,27,0
182,AK,1,1,19.89,2,1.1934,25.83,4,0.7749,30.85,4,0.617,20.25,2,6.075,1,4,0
183,IL,0,1,67.08,10,4.0248,108.51,9,3.2553,165.95,13,3.319,96.21,11,28.863,6,16,0
184,WI,1,1,221.74,27,13.3044,203.18,18,6.0954,208.88,20,4.1776,68.38,9,20.514,15,18,0
185,MD,1,1,99.62,11,5.9772,93.9,8,2.817,86.99,7,1.7398,63.91,8,19.173,6,9,0
186,CO,1,1,207.75,22,12.465,236.41,25,7.0923,227.9,25,4.558,198.66,21,59.598,18,16,0
187,PA,0,1,345.3,38,20.718,420.39,46,12.6117,330.17,33,6.6034,360.84,40,108.252,21,47,0
188,CT,1,1,251.3,26,15.078,215.93,21,6.4779,189.61,20,3.7922,249.1,23,74.73,5,15,0
189,MT,1,1,24.25,2,1.455,42.35,3,1.2705,58.61,7,1.1722,66.77,6,20.031,2,12,0
190,NE,1,1,9.95,1,0.597,23.93,2,0.7179,28.27,3,0.5654,39.13,5,11.739,2,3,0
191,VT,1,1,229.47,26,13.7682,162.89,20,4.8867,251.76,23,5.0352,186,24,55.8,16,23,0
192,MN,1,1,160.38,12,9.6228,189.87,18,5.6961,92.42,9,1.8484,64.22,11,19.266,10,11,0
193,NY,1,1,192.42,27,11.5452,129.19,15,3.8757,205.81,22,4.1162,286.21,29,85.863,9,18,0
194,WY,1,1,91.66,12,5.4996,117.12,8,3.5136,25.57,5,0.5114,65.67,6,19.701,9,11,0
195,AZ,1,1,45.58,8,2.7348,96.09,7,2.8827,22.94,3,0.4588,25.87,2,7.761,4,5,0
196,OK,1,0,93.55,11,5.613,70.93,8,2.1279,123.51,12,2.4702,98.84,12,29.652,8,12,0
197,NH,1,1,227.61,30,13.6566,371.26,32,11.1378,193.45,20,3.869,268.73,29,80.619,10,30,0
198,WV,1,1,67.1,9,4.026,116.58,12,3.4974,81.88,8,1.6376,61.31,9,18.393,5,10,0
199,AR,1,1,184.02,17,11.0412,134.2,15,4.026,196.5,17,3.93,288.57,30,86.571,15,28,0
200,KS,1,1,47.55,6,2.853,76.47,8,2.2941,75.55,8,1.511,93.21,10,27.963,3,6,0
201,VA,1,1,50.16,6,3.0096,71.75,7,2.1525,65.73,9,1.3146,22.76,2,6.828,4,7,0
202,IL,1,0,133.9,16,8.034,125.41,13,3.7623,87.41,12,1.7482,115.81,14,34.743,4,16,0
203,TN,0,1,222.13,25,13.3278,273.54,30,8.2062,224.83,29,4.4966,251.91,29,75.573,10,24,0
204,TX,1,1,67.13,8,4.0278,166.94,18,5.0082,118.08,12,2.3616,134.86,14,40.458,6,28,1
205,LA,1,1,,,,,,,,,,,,,,,0
206,NJ,1,1,728.37,81,43.7022,801.9,84,24.057,738.78,76,14.7756,779.83,88,233.949,51,90,0
207,CO,0,1,,,,,,,27.33,3,0.5466,55.01,5,16.503,,4,0
208,MS,1,1,197.4,20,11.844,181.56,21,5.4468,230.47,19,4.6094,202.94,21,60.882,7,24,0
209,RI,1,1,55.17,4,3.3102,1.92,1,0.0576,,,,3.45,2,1.035,,2,0
210,RI,0,1,161.69,16,9.7014,123.23,13,3.6969,237.88,20,4.7576,156.71,14,47.013,11,10,1
211,VT,1,1,51.38,6,3.0828,65.65,5,1.9695,74.7,5,1.494,99.24,10,29.772,1,9,0
212,AK,1,1,197.43,20,11.8458,208.76,24,6.2628,239.85,24,4.797,235.94,26,70.782,14,17,0
213,TX,1,1,474.5,47,28.47,367.33,39,11.0199,424.09,47,8.4818,352.99,44,105.897,20,56,0
214,DC,1,1,762.82,72,45.7692,464.01,52,13.9203,430.52,56,8.6104,603.01,66,180.903,31,56,0
215,MN,1,1,208.61,24,12.5166,144.68,13,4.3404,152.41,18,3.0482,67.58,8,20.274,13,24,0
216,MS,1,1,260.75,28,15.645,287.81,30,8.6343,247.94,28,4.9588,287.42,29,86.226,23,42,0
217,WV,1,0,226.4,29,13.584,299.36,31,8.9808,328.02,34,6.5604,291.74,32,87.522,21,39,0
218,NE,1,0,5.58,2,0.3348,20.93,4,0.6279,8.87,1,0.1774,14.86,3,4.458,2,4,0
219,NV,1,1,195.51,22,11.7306,230.14,21,6.9042,182.72,16,3.6544,93.78,10,28.134,11,26,0
220,WV,1,0,385.86,33,23.1516,436.99,45,13.1097,401.76,41,8.0352,323.8,36,97.14,25,39,0
221,VT,1,1,,,,,,,,,,,,,,,0
222,SD,1,1,361.31,35,21.6786,212.85,20,6.3855,207.79,25,4.1558,299.99,29,89.997,19,36,0
223,NJ,1,1,320.79,36,19.2474,328.13,38,9.8439,312.21,32,6.2442,211.21,26,63.363,22,26,1
224,OR,1,1,355.9,45,21.354,414.63,37,12.4389,341.79,38,6.8358,486.12,50,145.836,25,42,0
225,NM,1,1,70.05,7,4.203,88.46,7,2.6538,152.34,15,3.0468,70.5,7,21.15,8,11,0
226,WA,1,1,174.08,16,10.4448,90.51,10,2.7153,163.93,17,3.2786,122.96,13,36.888,3,18,1
227,CO,1,1,157.16,19,9.4296,127.33,12,3.8199,164.83,15,3.2966,159.4,17,47.82,11,19,1
228,RI,1,1,76.25,7,4.575,118.35,11,3.5505,93.38,10,1.8676,34.25,5,10.275,7,7,0
229,KS,1,1,81.79,7,4.9074,131.9,12,3.957,113.82,10,2.2764,43.41,3,13.023,10,8,0
230,CT,1,1,95.99,10,5.7594,52.65,8,1.5795,66.52,11,1.3304,103.02,11,30.906,8,9,0
231,IA,1,1,31.63,3,1.8978,,,,48.45,3,0.969,51.54,6,15.462,1,3,0
232,TN,0,1,,,,7.5,2,0.225,30.54,3,0.6108,53.23,6,15.969,3,6,0
233,RI,1,0,207.2,20,12.432,221.94,25,6.6582,71.82,8,1.4364,159.4,16,47.82,8,26,0
234,MS,1,1,105.57,11,6.3342,106.63,9,3.1989,44.67,8,0.8934,70.39,7,21.117,4,14,0
235,KS,1,1,102.04,14,6.1224,140.05,15,4.2015,120.78,16,2.4156,142.57,13,42.771,6,17,0
236,WV,1,1,136.69,15,8.2014,96.19,8,2.8857,88.65,8,1.773,54.95,7,16.485,2,12,0
237,DE,1,1,193.8,19,11.628,152.05,13,4.5615,196.14,22,3.9228,210.7,22,63.21,10,15,0
238,SC,0,1,59.91,7,3.5946,60.53,6,1.8159,72.52,9,1.4504,87.47,13,26.241,4,11,0
239,NM,1,1,31.84,4,1.9104,62.57,6,1.8771,15.32,2,0.3064,62.06,6,18.618,6,6,0
240,WI,1,1,257.74,23,15.4644,314.7,30,9.441,284.95,29,5.699,189.19,20,56.757,13,26,1
241,KY,1,1,173.27,16,10.3962,197.48,20,5.9244,158.76,17,3.1752,164.13,21,49.239,12,22,0
242,LA,1,1,208.59,20,12.5154,254.99,24,7.6497,122.95,17,2.459,185.08,24,55.524,16,30,0
243,WV,0,1,112.69,12,6.7614,173.51,13,5.2053,109.45,11,2.189,145.54,15,43.662,9,20,0
244,IN,1,1,236.79,21,14.2074,228.46,22,6.8538,139.44,16,2.7888,164.32,19,49.296,15,26,1
245,MD,0,1,151.96,17,9.1176,165.8,14,4.974,269.89,24,5.3978,179.59,19,53.877,8,21,0
246,DE,0,1,142.54,13,8.5524,105.25,10,3.1575,109.96,11,2.1992,114.63,10,34.389,7,15,0
247,TX,1,1,58.45,6,3.507,36.83,5,1.1049,37.57,7,0.7514,53.21,6,15.963,13,12,0
248,NV,1,1,205.22,23,12.3132,183.55,18,5.5065,209.04,24,4.1808,225.89,23,67.767,17,27,0
249,IL,1,1,162.78,17,9.7668,226.59,20,6.7977,226.69,20,4.5338,156.43,18,46.929,15,20,0
250,WV,1,1,183.94,22,11.0364,115.3,11,3.459,50.87,7,1.0174,141.04,13,42.312,6,17,0
251,VA,1,1,86.78,11,5.2068,165.74,19,4.9722,235.99,25,4.7198,165.9,20,49.77,15,21,0
252,PA,0,1,461.63,48,27.6978,512.42,51,15.3726,455.48,53,9.1096,439.43,49,131.829,33,54,0
