"Brand","Count_ads","no_channels","length_avg","Impressions_avg","Adpos_avg","no_weeks","Ad_during_PT","Ad_during_NPT","Ad_during_weekend","Ad_during_weekday","Short_ad","Medium_length_ad","Long_ad","Early_position","Middle_position","End_position","Low_Impressions","High_Impressions","Brand_aired_Star","Brand_aired_Sony","Brand_aired_Viacom18","Brand_aired_Zee","Genre_Infotainment","Genre_Kids","Genre_Lifestyle","Genre_Movies","Genre_Music","Genre_News","Genre_Youth","Programme_Genre_Arts_and_Culture","Programme_GenreBUSINESS PROGRAM","Programme_GenreCAR / BIKE RACING","Programme_GenreCARTOONS/ANIMATION","Programme_GenreCHILDRENS PROGRAM","Programme_GenreCOMEDIES","Programme_GenreCOOKERY","Programme_GenreCRICKET","Programme_GenreDRAMA/SOAP","Programme_GenreEVENTS/CONCERTS/AWARDS/SHOWS","Programme_GenreFEATURE FILMS","Programme_GenreFILM BASED MAGAZINES","Programme_GenreFILM SONGS","Programme_GenreFILM TRAILORS/ALBUM PROMOS","Programme_GenreGAME SHOW/QUIZ","Programme_GenreHEALTH/FITNESS","Programme_GenreHORROR SERIAL","Programme_GenreINTERVIEWS/PORTRAITS/DISCUSSIO","Programme_GenreMYTHOLOGICAL/COSTUME DRAMAS","Programme_GenreNATURE/WILD LIFE/ENVIRONMENT","Programme_GenreNEWS BULLETIN","Programme_GenreREALITY SHOW","Programme_GenreRELIGIOUS/DEVOTIONAL/ASTROLOGY","Programme_GenreREVIEWS/REPORTS","Programme_GenreSCIENCE/EDUCATION","Programme_GenreTALENT SEARCH/FEATS","Programme_GenreTALK SHOWS/CHAT SHOW","Programme_GenreTELE SHOPPING","Programme_GenreTRAVEL PLACES","Programme_GenreWRESTLING"
"BAJAJ ALMOND DROPS",20951,24,22.9432962627082,129.371501121665,0.547906603634433,41,6311,14640,5680,15271,3449,6548,10954,6245,6351,8355,1627,19324,2544,3156,1513,4878,0,91,0,9603,3315,511,0,0,0,0,165,0,112,0,8,2370,83,2547,10,880,239,0,2,15,7,5,0,262,0,15,36,0,15,7,8,0,24
"BBLUNT SALON SECRET CREME HAIR COLOUR",1939,11,27.7411036616813,196.044605466735,0.557019891389376,6,612,1327,452,1487,0,292,1647,578,582,779,269,1670,307,462,215,375,0,0,301,188,279,0,0,0,0,0,0,0,5,9,0,210,23,55,0,105,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0
"BIGEN MENS SPEEDY COLOR",694,3,22.1037463976945,200.736253602305,0.754774019759366,4,272,422,145,549,0,548,146,120,70,504,91,603,405,0,0,0,289,0,0,291,0,0,0,0,0,0,0,0,0,0,0,41,0,51,0,0,0,0,0,0,0,0,4,0,0,0,8,68,0,0,0,0,0
"BRYLCREEM",5650,27,21.058407079646,89.3425840707965,0.525419680447434,12,1578,4072,1604,4046,970,3112,1568,1869,1729,2052,1631,4019,1460,545,114,801,0,0,0,3147,0,306,0,0,0,0,7,0,16,0,0,386,21,1071,1,6,0,0,0,3,1,1,0,98,0,1,10,0,0,2,0,0,3
"CB-KESH KING OIL-BAJIRAO MASTANI",511,7,30,76.5829941291585,0.613318219978474,3,168,343,141,370,0,0,511,89,189,233,59,452,6,142,0,40,0,0,0,34,362,103,0,0,0,0,0,0,4,0,0,3,0,19,1,192,0,0,0,0,10,0,0,65,0,5,0,0,0,0,1,0,0
"CB-KUBER BRAHMA SANJIVANI A-HOUSEFULL 3",79,2,30,20.9175949367089,0.618877352341772,2,27,52,27,52,0,0,79,11,27,41,10,69,0,42,0,0,0,0,0,0,42,37,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"CHIK EGG WHITE PROTEIN SHAMPOO",3038,11,20,162.559315339039,0.536747633555629,32,1111,1927,1022,2016,0,3038,0,942,934,1162,90,2948,1169,37,260,1254,0,0,0,755,279,39,0,0,0,0,5,0,19,0,0,771,24,253,0,77,0,0,0,0,0,10,0,16,0,0,0,0,6,0,0,0,17
"CLINIC PLUS SHAMPOO",25793,32,18.6215252200209,126.233192339007,0.547490440116892,52,7472,18321,6698,19095,7289,11037,7467,7813,7728,10252,4845,20948,4616,2628,2008,5407,0,0,0,9765,2838,414,67,0,0,0,86,7,314,0,1,3373,159,3837,2,1701,341,11,0,37,30,77,0,187,18,0,20,0,24,9,22,0,8
"CLINIC PLUS SHAMPOO/CONDITIONER",5093,30,23.7384645591989,83.1106774003534,0.559624091011781,23,1339,3754,1507,3586,0,3189,1904,1364,1669,2060,1421,3672,1086,272,213,475,0,0,0,2418,667,240,51,0,0,0,12,0,20,0,1,310,12,920,0,297,121,0,0,9,0,15,0,75,0,4,25,0,0,9,19,0,3
"CLINIC PLUS STRONG AND THICK",10843,30,23.7166835746565,95.0051922899567,0.540448760779489,26,2885,7958,2954,7889,0,6813,4030,3458,3122,4263,3092,7751,2615,1074,571,900,0,0,0,5835,201,120,27,0,0,0,44,0,92,0,0,803,32,2136,1,101,67,0,0,6,0,48,0,48,0,0,5,0,0,3,27,0,3
"DABUR ALMOND OIL",3664,12,11.9978165938865,217.704628820961,0.523923608172489,30,1172,2492,1023,2641,2141,1523,0,1202,1147,1315,337,3327,997,0,79,795,0,0,0,5,1182,606,0,1,3,0,0,0,30,0,6,777,0,31,7,1079,0,0,8,4,6,1,0,267,0,16,39,0,4,11,0,0,0
"DABUR ALMOND SHAMPOO",2416,7,18.8886589403974,215.818381622517,0.498173699439983,18,709,1707,476,1940,382,1744,290,832,808,776,465,1951,1229,0,29,0,0,0,408,1360,0,0,0,0,0,0,0,0,0,22,0,123,1,426,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,24,0
"DABUR AMLA",10934,24,16.0641119443936,150.529690872508,0.549406127933785,37,3318,7616,2715,8219,4469,3518,2947,2977,3785,4172,843,10091,3041,1880,1322,1240,0,340,0,2328,1488,256,0,0,0,0,336,10,110,0,5,1649,69,821,1,931,315,0,0,1,2,17,0,62,0,4,31,0,1,10,0,0,0
"DABUR ANMOL NON STICKY COCONUT HAIR OIL",132,1,20.4545454545455,554.860757575758,0.816403688742424,3,33,99,44,88,0,84,48,7,3,122,0,132,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DABUR VATIKA ENRICHED COCONUT HAIR OIL",8,2,15,723.82875,0.645782271375,5,3,5,6,2,0,8,0,3,0,5,0,8,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DABUR VATIKA JASMINE HAIR OIL",45,2,20,580.178666666667,0.617759150822222,4,15,30,6,39,0,45,0,7,14,24,0,45,8,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"DABUR VATIKA NATURALS SHAMPOO",1321,6,20,71.2289704769114,0.52677801464648,4,402,919,371,950,0,1321,0,420,424,477,92,1229,499,161,0,193,0,0,0,718,0,90,0,0,0,0,0,0,0,0,0,50,0,190,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"DABUR VATIKA OIL BALANCE SHAMPOO",2384,11,22.7726510067114,109.060167785235,0.523945378736997,13,726,1658,713,1671,25,2016,343,852,628,904,241,2143,216,569,8,650,0,0,0,1551,0,120,0,0,0,0,0,0,11,0,2,148,0,451,1,27,0,0,0,0,0,1,0,22,0,3,19,0,2,5,0,0,0
"DABUR VATIKA SHAMPOOS",60,2,15,30.8616666666667,0.605359127016667,1,34,26,60,0,0,60,0,11,20,29,17,43,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"D FREE OVERNIGHT LOTION",4597,13,15.7417881226887,205.027483141179,0.655597567218186,20,1731,2866,1188,3409,1991,2077,529,959,1003,2635,318,4279,1667,840,378,272,361,0,0,1804,207,948,273,0,0,0,0,0,35,0,13,332,2,254,3,60,0,0,7,0,10,10,154,224,3,30,188,13,3,18,4,0,0
"DOVE CONDITIONER",14188,28,20.2988440936002,117.079677191993,0.54547486035227,41,3568,10620,4017,10171,0,13340,848,4150,4615,5423,4054,10134,2967,1289,860,2495,80,0,482,6677,0,55,0,0,0,0,50,5,142,54,7,1822,38,2718,0,30,0,0,0,13,11,77,30,20,8,0,42,15,21,3,34,31,0
"DOVE DANDRUFF CARE",24,4,20,182.53,0.630357928541667,1,17,7,6,18,0,24,0,5,7,12,0,24,16,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOVE HAIR FALL RESCUE",8855,22,24.9599096555618,172.642346696781,0.56019360955686,21,2714,6141,2194,6661,0,2755,6100,2828,2155,3872,1202,7653,2072,921,821,2731,0,0,0,2873,0,0,0,0,0,0,66,16,32,0,0,2081,30,1272,1,58,0,0,0,23,0,25,0,0,16,0,0,0,37,9,8,0,1
"DOVE INTENSE REPAIR",20856,33,22.1020329881089,98.1518886651323,0.561286660552934,28,6062,14794,5307,15549,0,16472,4384,5872,6254,8730,5344,15512,4432,1892,1534,1854,0,0,0,10149,1524,318,397,0,0,0,79,0,196,0,0,1733,88,3515,3,790,131,0,0,12,1,53,0,136,0,0,22,0,0,6,25,0,2
"DOVE OXYGEN MOISTURE SHAMPOO",4439,24,23.9743185402118,85.1444965082226,0.540065375610273,13,1442,2997,1250,3189,0,911,3528,1389,1292,1758,1559,2880,942,376,116,736,0,0,0,2692,0,0,0,0,0,0,9,0,18,0,0,385,10,918,0,15,0,0,0,1,5,9,0,0,0,0,0,0,0,0,8,0,0
"DOVE SHAMPOO",7957,29,10,178.152665577479,0.56269425746789,27,2534,5423,2280,5677,7957,0,0,2448,2043,3466,1140,6817,1699,919,777,2001,59,0,265,2186,121,232,3,0,0,0,72,1,53,33,1,1400,77,1040,1,73,35,2,0,10,4,25,3,83,12,7,42,12,14,6,4,30,0
"EMAMI 7 OILS IN ONE",9475,20,19.0311345646438,158.327387862797,0.608712263346491,34,3409,6066,2047,7428,1173,7445,857,2113,2925,4437,1155,8320,950,1741,840,2134,0,0,0,1360,3666,523,634,0,0,0,17,0,6,0,0,605,7,401,9,2083,181,0,2,8,9,6,0,264,0,15,0,0,0,0,0,0,0
"GARNIER BLACK NATURALS",10529,14,17.4560737012062,243.479077785165,0.545811657231266,49,2469,8060,2936,7593,1747,6902,1880,3005,3432,4092,302,10227,2624,2436,1230,2065,0,0,0,3356,0,2174,0,0,0,0,0,0,48,0,32,1328,78,798,5,35,0,0,18,2,13,21,0,566,110,20,402,0,10,40,1,0,6
"GARNIER COLOR NATURALS",5896,13,19.932157394844,305.300544436906,0.548694366817164,42,1591,4305,1588,4308,39,5612,245,1804,1726,2366,249,5647,1923,1815,900,911,0,0,347,1876,0,0,0,0,0,0,0,0,31,227,0,905,59,385,0,7,0,0,0,0,0,7,0,0,63,0,0,0,4,2,0,0,0
"GARNIER FRUCTIS OIL IN CREAM",659,11,13.3990895295903,194.397389984825,0.569665861951442,4,162,497,250,409,435,224,0,177,209,273,53,606,73,247,41,298,0,0,0,85,24,0,0,0,0,0,0,0,5,0,0,98,5,22,0,13,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0
"GARNIER ULTRA BLENDS 5 PRECIOUS HERBS",3875,12,21.3290322580645,251.944916129032,0.543038107527226,14,1082,2793,973,2902,102,3105,668,1232,1114,1529,337,3538,381,804,420,948,0,0,394,259,0,928,0,0,0,0,0,0,18,232,8,591,32,60,4,2,0,0,9,0,4,11,0,285,0,3,79,0,0,13,0,0,4
"GARNIER ULTRA BLENDS ROYAL JELLY & LAVEN",3165,12,23.7535545023697,245.906467614534,0.576025590198104,11,944,2221,764,2401,60,1827,1278,922,865,1378,334,2831,379,677,383,734,0,0,453,366,0,539,0,0,0,0,0,0,15,279,4,451,20,94,2,7,0,0,9,0,7,7,0,194,0,6,63,0,0,11,0,0,3
"GODREJ EXPERT POWDER HAIR COLOUR",2760,5,26.6721014492754,109.47284057971,0.549407171778623,13,943,1817,864,1896,0,1441,1319,820,854,1086,93,2667,0,585,775,962,0,0,0,190,0,438,0,0,0,0,68,0,35,0,0,324,58,59,5,0,0,0,4,0,4,0,0,179,0,0,4,0,0,2,0,0,0
